athlete_id,event
1546055,Womens 50m Freestyle
1546057,Mens 71kg
1546073,Womens 200m
1546073,Womens 4 x 100m Relay
1546108,Mens Individual
1546108,Mens Team
1546108,Mixed Team
1546110,Mens Individual
1546110,Mens Team
1546112,Mens Individual
1546112,Mens Team
1546122,Mens 400m Freestyle
1546122,Mens 800m Freestyle
1546132,Womens Individual
1546132,Womens Team
1546133,Womens Individual
1546133,Womens Team
1546200,Womens Individual
1546200,Womens Team
1546200,Mixed Team
1546314,Mens 10m Platform
1546614,Mens Individual Stroke Play
1546621,Women -48 kg
1546651,Men -81 kg
1546651,Mixed Team
1546662,Mens Single Sculls
1546670,Women
1546675,Women
1546687,Women -67kg
1546688,Women -49kg
1546696,Men -68kg
1546697,Men -58kg
1546749,Womens 60kg
1546985,Women +67kg
1547004,Mens 3m Springboard
1547098,Mens 100m Backstroke
1547119,Womens Dinghy
1547131,Womens 200m Freestyle
1547690,Mens Singles
1547764,Womens 100m
1547788,Mens 200m
1547814,Mens 100m
1547863,Mens Quadruple Sculls
1547865,Womens Double Sculls
1547866,Womens Double Sculls
1547870,Lightweight Mens Double Sculls
1547871,Mens Quadruple Sculls
1547873,Lightweight Mens Double Sculls
1547875,Mens Four
1547876,Mens Eight
1547877,Womens Eight
1547891,Mens Eight
1547892,Mens Eight
1547893,Mens Eight
1547894,Womens Eight
1547895,Mens Eight
1547896,Mens Eight
1547897,Womens Eight
1547898,Womens Eight
1547899,Mens Four
1547901,Mens Pair
1547902,Mens Pair
1547905,Mens Eight
1547906,Mens Four
1547910,Mens Double Sculls
1547911,Womens Eight
1547912,Mens Eight
1547913,Mens Eight
1547914,Womens Eight
1548262,Womens Marathon
1548337,Womens 4 x 400m Relay
1548337,4 x 400m Relay Mixed
1548352,Womens 4 x 100m Relay
1548381,Women -67kg
1548401,Men +80kg
1548402,Womens 200m Butterfly
1548409,Mens 400m Freestyle
1548482,Jumping Individual
1548514,Mens 10
1548514,000m
1548514,Mens 5000m
1548516,Womens Marathon
1548527,Womens 10
1548527,000m
1548538,Mens Road Race
1548538,Mens Individual Time Trial
1548543,Womens 100m
1548804,Women -57 kg
1548804,Mixed Team
1548817,Men -90 kg
1548817,Mixed Team
1548824,Women +78 kg
1548824,Mixed Team
1548829,Men -73 kg
1548829,Mixed Team
1548845,Womens 3000m Steeplechase
1548852,Womens Single Sculls
1548857,Mens Freestyle 57kg
1548868,Mens Canoe Single 1000m
1548868,Mens Canoe Double 500m
1548871,Mens Canoe Double 500m
1548928,Women -57 kg
1548933,Individual All-Around
1548934,Men +100 kg
1548935,Men -66 kg
