athlete_id,medal_date,medal_code,event_id,country_id,name,birth_date,gender,height,weight,education,country,disciplines,Gold Medal,Silver Medal,Bronze Medal,Total
1548871,2024-08-08,2.0,Men's Canoe Double 500m,ITA,Gabriele CASADEI,2002-08-10,Male,0.0,0.0,"",Italy,Canoe Sprint,12,13,15,40
1548948,2024-08-09,2.0,Individual All-Around,BUL,Boryana KALEYN,2000-08-23,Female,0.0,0.0,"Coaching at Vasil Levski National Sports Academy (Sofia, BUL)",Bulgaria,Rhythmic Gymnastics,3,1,3,7
1550116,2024-08-08,3.0,Men's Greco-Roman 87kg,UKR,Zhan BELENIUK,1991-01-24,Male,0.0,0.0,"Studied Coaching, Sports Psychology at the National University of Ukraine (Kyiv, UKR)",Ukraine,Wrestling,3,5,4,12
1550119,2024-08-08,2.0,Men's Greco-Roman 67kg,UKR,Parviz NASIBOV,1998-08-18,Male,0.0,0.0,"Classic Private University (Zaporozhye, UKR)",Ukraine,Wrestling,3,5,4,12
1550148,2024-08-07,2.0,Women's 49kg,ROU,Mihaela Valentina CAMBEI,2002-11-18,Female,0.0,0.0,"",Romania,Weightlifting,3,4,2,9
1550162,2024-07-28,2.0,Women -52 kg,KOS,Distria KRASNIQI,1995-12-10,Female,0.0,0.0,"Sport Education, UBT University",Kosovo,Judo,0,1,1,2
1550167,2024-07-30,3.0,Women -63 kg,KOS,Laura FAZLIU,2000-09-28,Female,0.0,0.0,"",Kosovo,Judo,0,1,1,2
1550170,2024-08-05,3.0,Women's Floor Exercise,ROU,Ana BARBOSU,2006-07-26,Female,0.0,0.0,"",Romania,Artistic Gymnastics,3,4,2,9
1550184,2024-08-04,3.0,Men's 63.5kg,GEO,Lasha GURULI,1996-08-27,Male,178.0,0.0,"Studied at the State College of Physical Education and Sports (Tbilisi, GEO)",Georgia,Boxing,3,3,1,7
1550250,2024-08-08,2.0,Men's Javelin Throw,IND,Neeraj CHOPRA,1997-12-24,Male,186.0,0.0,"DAV College (Chandigarh, IND)",India,Athletics,0,1,5,6
1550285,2024-08-03,1.0,Women's Eight,ROU,Adriana ADAM,1999-04-11,Female,0.0,0.0,Studied Physical Education and Sport at the University of Craiova (ROU),Romania,Rowing,3,4,2,9
1550289,2024-08-02,2.0,Women's Pair,ROU,Roxana ANGHEL,1998-01-01,Female,0.0,0.0,"Studied Physical Education and Sport Studies at the University of Craiova (Craiova, ROU)",Romania,Rowing,3,4,2,9
1550289,2024-08-03,1.0,Women's Eight,ROU,Roxana ANGHEL,1998-01-01,Female,0.0,0.0,"Studied Physical Education and Sport Studies at the University of Craiova (Craiova, ROU)",Romania,Rowing,3,4,2,9
1550294,2024-08-03,1.0,Women's Eight,ROU,Amalia BERES,1997-06-18,Female,0.0,0.0,"",Romania,Rowing,3,4,2,9
1550295,2024-08-09,3.0,Men's Canoe Single 1000m,MDA,Serghei TARNOVSCHI,1997-06-24,Male,0.0,0.0,Ternopil National Economic University (UKR),Republic of Moldova,Canoe Sprint,0,1,3,4
1550303,2024-08-01,2.0,Women's Double Sculls,ROU,Ancuta BODNAR,1998-09-25,Female,0.0,0.0,Studied Physical Education and Sport at the University of Craiova (ROU),Romania,Rowing,3,4,2,9
1550303,2024-08-03,1.0,Women's Eight,ROU,Ancuta BODNAR,1998-09-25,Female,0.0,0.0,Studied Physical Education and Sport at the University of Craiova (ROU),Romania,Rowing,3,4,2,9
1550384,2024-08-02,2.0,Lightweight Women's Double Sculls,ROU,Ionela Livia COZMIUC,1995-01-03,Female,0.0,0.0,"",Romania,Rowing,3,4,2,9
1550437,2024-08-03,1.0,Women's Eight,ROU,Maria LEHACI,1999-06-28,Female,0.0,0.0,"",Romania,Rowing,3,4,2,9
1550542,2024-08-03,1.0,Women's Eight,ROU,Victoria Stefania PETREANU,2003-01-21,Female,0.0,0.0,"",Romania,Rowing,3,4,2,9
1550560,2024-08-01,2.0,Women's Double Sculls,ROU,Simona RADIS,1999-04-05,Female,0.0,0.0,"",Romania,Rowing,3,4,2,9
1550560,2024-08-03,1.0,Women's Eight,ROU,Simona RADIS,1999-04-05,Female,0.0,0.0,"",Romania,Rowing,3,4,2,9
1550630,2024-08-03,1.0,Women's Eight,ROU,Maria Magdalena RUSU,1999-09-30,Female,0.0,0.0,"Studied Physical Education and Sport Studies at the Romanian-American University (Bucharest, ROU)",Romania,Rowing,3,4,2,9
1550661,2024-08-02,2.0,Lightweight Women's Double Sculls,ROU,Gianina Elena van GRONINGEN,1995-05-21,Female,0.0,0.0,Graduated with a Bachelor's degree in Sport Studies from University of Craiova (ROU),Romania,Rowing,3,4,2,9
1550789,2024-08-02,2.0,Women's Pair,ROU,Ioana VRINCEANU,1994-03-07,Female,0.0,0.0,"",Romania,Rowing,3,4,2,9
1550789,2024-08-03,1.0,Women's Eight,ROU,Ioana VRINCEANU,1994-03-07,Female,0.0,0.0,"",Romania,Rowing,3,4,2,9
1550975,2024-08-01,1.0,Men's Kayak Single,ITA,Giovanni de GENNARO,1992-07-21,Male,0.0,0.0,"",Italy,Canoe Slalom,12,13,15,40
1551061,2024-08-05,1.0,Women's Balance Beam,ITA,Alice D'AMATO,2003-02-07,Female,0.0,0.0,"",Italy,Artistic Gymnastics,12,13,15,40
1551061,2024-07-30,2.0,Women's Team,ITA,Alice D'AMATO,2003-02-07,Female,0.0,0.0,"",Italy,Artistic Gymnastics,12,13,15,40
1551186,2024-08-01,1.0,Men's Double Sculls,ROU,Andrei Sebastian CORNEA,1999-11-10,Male,0.0,0.0,"",Romania,Rowing,3,4,2,9
1551238,2024-08-01,1.0,Men's Double Sculls,ROU,Marian Florian ENACHE,1995-08-05,Male,0.0,0.0,Studied Physical Education and Sport Studies at the University of Craiova (ROU),Romania,Rowing,3,4,2,9
1551307,2024-08-10,2.0,Men's 102kg,UZB,Akbar DJURAEV,1999-10-08,Male,0.0,0.0,"Studied at Uzbek State University of Physical Education and Sport (Chirchiq, UZB)",Uzbekistan,Weightlifting,8,2,3,13
