athlete_id,name,birth_date,gender,country,height,weight,education
1560677,Jakob SCHUBERT,1990-12-31,Male,Austria,175.0,0.0,"Economics, Management at University of Innsbruck (AUT)"
1560680,Collins Valentine FILIMON,1998-02-14,Male,Austria,190.0,0.0,"Attended West University of Timisoara, ROU"
1560689,Saeed ABUSHARIB,1983-08-31,Male,Qatar,0.0,0.0,""
1560690,Rashid Saleh AL-ATHBA,1987-10-18,Male,Qatar,0.0,0.0,""
1560705,Yulduz HASHIMI,2000-07-08,Female,Afghanistan,0.0,0.0,""
1560712,Yuliana Vasileva YANEVA,1998-08-02,Female,Bulgaria,0.0,0.0,""
1560759,Giorgia VILLA,2003-02-23,Female,Italy,0.0,0.0,""
1560760,Elisa IORIO,2003-03-21,Female,Italy,0.0,0.0,""
1560761,Angela ANDREOLI,2006-06-06,Female,Italy,0.0,0.0,""
1560762,Manila ESPOSITO,2006-11-02,Female,Italy,0.0,0.0,""
1560780,Nicolo' CARUCCI,2001-02-22,Male,Italy,0.0,0.0,"Bachelor's degree in Business Economics and Management from Carlo Cattaneo University (Castellanza, ITA)"
1560781,Luca RAMBALDI,1994-12-09,Male,Italy,0.0,0.0,""
1560782,Emanuele CAPPONI,2001-01-07,Male,Italy,0.0,0.0,""
1560783,Alice CODATO,2003-09-26,Female,Italy,0.0,0.0,Studies at the San Raffaele University of Rome (ITA)
1560788,Giorgia PELACCHI,1998-04-06,Female,Italy,0.0,0.0,"Studied at Luiss Guido Carli University (Rome, ITA)"
1560793,Nicholas KOHL,1998-10-07,Male,Italy,0.0,0.0,"Received a Bachelor's and Master's degree in Environmental Engineering from Syracuse University (NY, USA). After the Paris 2024 Olympic Games, he will pursue another Master's degree in Water Science, Policy and Management at Oxford University (GBR)"
1560988,Conor HALL,1995-09-08,Male,Great Britain,0.0,0.0,""
1560989,Tom HALL,1990-09-17,Male,Great Britain,0.0,0.0,"Received a Master's degree in Chemistry in 2013 and a doctorate in Chemistry in 2017 from the University of Warwick (Coventry, GBR)"
1560990,Megs HAVERS,2007-12-02,Female,Great Britain,0.0,0.0,""
1560991,Penny HEALEY,2005-03-07,Female,Great Britain,0.0,0.0,Loughborough College (online)
1561000,Bryony PITMAN,1997-03-13,Female,Great Britain,0.0,0.0,"Graduated in 2020 with a Bachelor's degree in History from Northumbria University (Newcastle, GBR) and in 2022 with a Master's degree in Intelligence and Security Studies from Brunel University London (GBR) in 2022"
1561003,Alex WISE,2000-08-17,Male,Great Britain,0.0,0.0,"Studied Sport Development at Northumbria University (Newcastle upon Tyne, GBR)"
1561138,Denis VIERU,1996-03-10,Male,Republic of Moldova,0.0,0.0,""
1561149,Matija MARINIC,1990-12-24,Male,Croatia,0.0,0.0,""
1561237,Adriana CARDOSO,1990-10-29,Female,Brazil,167.0,0.0,Attended University of Caxias do Sul in Rio Grande do Sul (BRA)
1561239,Ana Claudia BOLZAN,1996-07-15,Female,Brazil,177.0,0.0,""
1561242,Barbara ARENHART,1986-10-04,Female,Brazil,182.0,0.0,"Studied at Feevale University, Novo Hamburgo (BRA)"
1561243,Bruna de PAULA,1996-09-26,Female,Brazil,170.0,0.0,""
1561248,Gabriela BITOLO,1999-04-01,Female,Brazil,182.0,0.0,""
1561249,Gabriela MORESCHI,1994-07-08,Female,Brazil,190.0,0.0,""
1561250,Giulia GUARIEIRO,1995-07-24,Female,Brazil,175.0,0.0,"Studied Public Relations at the School of Communications and Arts, University of Sao Paulo (BRA)"
1561253,Jessica QUINTINO,1991-04-17,Female,Brazil,172.0,0.0,""
1561255,Jhennifer LOPES,2000-07-28,Female,Brazil,177.0,0.0,""
1561256,Kelly ROSA,2004-01-25,Female,Brazil,178.0,0.0,""
1561257,Larissa ARAUJO,1992-07-01,Female,Brazil,167.0,0.0,Studied Physical Education at Paranaense University (BRA)
1561261,Marcela AROUNIAN,2000-01-07,Female,Brazil,184.0,0.0,""
1561264,Mariane FERNANDES,1996-01-04,Female,Brazil,165.0,0.0,""
1561269,Patricia MATIELI,1988-11-08,Female,Brazil,168.0,0.0,""
1561272,Renata de ARRUDA,1999-02-18,Female,Brazil,180.0,0.0,""
1561274,Samara VIEIRA,1991-10-07,Female,Brazil,183.0,0.0,""
1561276,Tamires ARAUJO FROSSARD,1994-05-16,Female,Brazil,183.0,0.0,Studied at the Universidade Castelo Branco (BRA)
1561303,Dawit SEARE,2004-12-29,Male,Eritrea,170.0,0.0,""
1561316,Tom GRAMBUSCH,1995-08-04,Male,Germany,0.0,0.0,""
1561318,Niklas WELLEN,1994-12-14,Male,Germany,0.0,0.0,"Economics, Industrial Engineering - Rheinische Fachhochschule Cologne, Germany. Master of Engineering (Industrial Engineering)"
1561319,Mats GRAMBUSCH,1992-11-04,Male,Germany,0.0,0.0,"Business Studies - University of Cologne, Germany"
