athlete_id,medal_date,medal_type,discipline,country,name,birth_date,gender,height,weight,gold_medal,silver_medal,bronze_medal,total
1551307,8/10/2024,Silver Medal,Weightlifting,Uzbekistan,Akbar DJURAEV,10/8/1999,Male,0,0,8,2,3,13
1551387,7/28/2024,Bronze Medal,Shooting,Italy,Paolo MONNA,4/19/1998,Male,0,0,12,13,15,40
1551388,7/28/2024,Silver Medal,Shooting,Italy,Federico Nilo MALDINI,3/28/2001,Male,0,0,12,13,15,40
1551443,8/10/2024,Gold Medal,Weightlifting,Georgia,Lasha TALAKHADZE,10/2/1993,Male,0,0,3,3,1,7
1552305,8/9/2024,Silver Medal,Athletics,Italy,Nadia BATTOCLETTI,4/12/2000,Female,170,0,12,13,15,40
1552370,8/1/2024,Silver Medal,Judo,Georgia,Ilia SULAMANIDZE,6/18/2001,Male,0,0,3,3,1,7
1552375,8/9/2024,Bronze Medal,Athletics,Italy,Andy DIAZ HERNANDEZ,12/25/1995,Male,192,0,12,13,15,40
1552378,8/6/2024,Bronze Medal,Athletics,Italy,Mattia FURLANI,2/7/2005,Male,183,0,12,13,15,40
1552495,8/11/2024,Silver Medal,Wrestling,Georgia,Givi MATCHARASHVILI,5/17/1997,Male,0,0,3,3,1,7
1553031,8/10/2024,Bronze Medal,Modern Pentathlon,Italy,Giorgio MALAN,1/27/2000,Male,0,0,12,13,15,40
1553249,8/2/2024,Silver Medal,Archery,Germany,Florian UNRUH,6/7/1993,Male,0,0,12,13,8,33
1553258,8/2/2024,Silver Medal,Archery,Germany,Michelle KROPPEN,4/19/1996,Female,0,0,12,13,8,33
1554885,8/10/2024,Gold Medal,Wrestling,Georgia,Geno PETRIASHVILI,4/1/1994,Male,0,0,3,3,1,7
1554972,8/3/2024,Silver Medal,Tennis,Croatia,Donna VEKIC,6/28/1996,Female,179,0,2,2,3,7
1555098,8/6/2024,Gold Medal,Boxing,Ireland,Kellie HARRINGTON,12/11/1989,Female,169,0,4,0,3,7
