medal_date,medal_type,athlete_id,discipline
2024-08-07,Bronze Medal,1878602,Sailing
2024-08-07,Gold Medal,1946074,Skateboarding
2024-08-07,Silver Medal,1944247,Skateboarding
2024-08-07,Bronze Medal,1955669,Skateboarding
2024-08-07,Gold Medal,1563327,Sport Climbing
2024-08-07,Silver Medal,1913702,Sport Climbing
2024-08-07,Bronze Medal,1563321,Sport Climbing
2024-08-07,Gold Medal,1904040,Taekwondo
2024-08-07,Silver Medal,1946883,Taekwondo
2024-08-07,Bronze Medal,1893274,Taekwondo
2024-08-07,Bronze Medal,1947736,Taekwondo
2024-08-07,Gold Medal,1902841,Taekwondo
2024-08-07,Silver Medal,1910372,Taekwondo
2024-08-07,Bronze Medal,1536064,Taekwondo
2024-08-07,Bronze Medal,1569986,Taekwondo
2024-08-07,Gold Medal,1918372,Weightlifting
2024-08-07,Silver Medal,1898059,Weightlifting
2024-08-07,Bronze Medal,1917153,Weightlifting
2024-08-07,Gold Medal,1918377,Weightlifting
2024-08-07,Silver Medal,1550148,Weightlifting
2024-08-07,Bronze Medal,1898024,Weightlifting
2024-08-07,Gold Medal,1939692,Wrestling
2024-08-07,Silver Medal,1958652,Wrestling
2024-08-07,Bronze Medal,1532873,Wrestling
2024-08-07,Bronze Medal,1566627,Wrestling
2024-08-07,Gold Medal,1544897,Wrestling
2024-08-07,Silver Medal,1532872,Wrestling
2024-08-07,Bronze Medal,1571504,Wrestling
2024-08-07,Bronze Medal,1566601,Wrestling
2024-08-07,Gold Medal,1955373,Wrestling
2024-08-07,Silver Medal,1571747,Wrestling
2024-08-07,Bronze Medal,1939712,Wrestling
2024-08-07,Bronze Medal,1920000,Wrestling
2024-08-08,Gold Medal,1960961,Athletics
2024-08-08,Silver Medal,1965223,Athletics
2024-08-08,Bronze Medal,1901251,Athletics
2024-08-08,Gold Medal,1936983,Athletics
2024-08-08,Silver Medal,1960659,Athletics
2024-08-08,Bronze Medal,1960173,Athletics
2024-08-08,Gold Medal,1878563,Athletics
2024-08-08,Silver Medal,1550250,Athletics
2024-08-08,Bronze Medal,1573418,Athletics
2024-08-08,Gold Medal,1965308,Athletics
2024-08-08,Silver Medal,1960581,Athletics
2024-08-08,Bronze Medal,1972078,Athletics
2024-08-08,Gold Medal,1960711,Athletics
2024-08-08,Silver Medal,1920175,Athletics
2024-08-08,Bronze Medal,1965250,Athletics
2024-08-08,Gold Medal,1556045,Boxing
2024-08-08,Silver Medal,1879110,Boxing
2024-08-08,Bronze Medal,1940136,Boxing
2024-08-08,Bronze Medal,1555185,Boxing
2024-08-08,Gold Medal,1926832,Boxing
2024-08-08,Silver Medal,1568186,Boxing
2024-08-08,Bronze Medal,1940134,Boxing
2024-08-08,Bronze Medal,1894537,Boxing
2024-08-08,Gold Medal,1895717,Cycling Track
2024-08-08,Silver Medal,1933816,Cycling Track
2024-08-08,Bronze Medal,1915370,Cycling Track
2024-08-08,Gold Medal,1945040,Cycling Track
2024-08-08,Silver Medal,1969180,Cycling Track
2024-08-08,Bronze Medal,1912522,Cycling Track
2024-08-08,Gold Medal,1901550,Diving
2024-08-08,Silver Medal,1901549,Diving
2024-08-08,Bronze Medal,1535349,Diving
2024-08-08,Gold Medal,1972515,Marathon Swimming
2024-08-08,Silver Medal,1945588,Marathon Swimming
2024-08-08,Bronze Medal,1925804,Marathon Swimming
2024-08-08,Gold Medal,1899728,Sailing
2024-08-08,Silver Medal,1559512,Sailing
2024-08-08,Bronze Medal,1970517,Sailing
2024-08-08,Gold Medal,1940329,Sport Climbing
2024-08-08,Silver Medal,1913699,Sport Climbing
2024-08-08,Bronze Medal,1950309,Sport Climbing
2024-08-08,Gold Medal,1887714,Taekwondo
2024-08-08,Silver Medal,1537401,Taekwondo
2024-08-08,Bronze Medal,1910367,Taekwondo
2024-08-08,Bronze Medal,1955815,Taekwondo
2024-08-08,Gold Medal,1904038,Taekwondo
2024-08-08,Silver Medal,1536067,Taekwondo
2024-08-08,Bronze Medal,1966505,Taekwondo
2024-08-08,Bronze Medal,2493835,Taekwondo
2024-08-08,Gold Medal,1941786,Weightlifting
2024-08-08,Silver Medal,1898067,Weightlifting
2024-08-08,Bronze Medal,1902787,Weightlifting
2024-08-08,Gold Medal,1918379,Weightlifting
2024-08-08,Silver Medal,1965815,Weightlifting
2024-08-08,Bronze Medal,1569563,Weightlifting
2024-08-08,Gold Medal,1544928,Wrestling
2024-08-08,Silver Medal,1550119,Wrestling
2024-08-08,Bronze Medal,1981760,Wrestling
2024-08-08,Bronze Medal,1571498,Wrestling
2024-08-08,Gold Medal,1559471,Wrestling
2024-08-08,Silver Medal,1544880,Wrestling
2024-08-08,Bronze Medal,1550116,Wrestling
2024-08-08,Bronze Medal,1879518,Wrestling
